Unnamed: 0,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
0,1,21,0,8,4,0,2,0,0,1,0,2,13,3,0,0,6,0,0,3,1,1,0,0,1
1,2,82,0,2,17,0,11,1,33,10,0,0,53,12,0,2,24,0,0,14,2,9,0,0,0
2,1,20,0,0,4,0,2,0,8,2,0,0,13,3,0,0,6,0,0,3,0,2,0,0,1
3,1,32,1,13,4,0,0,1,29,62,0,0,57,9,0,0,0,0,0,0,0,0,0,3,3
4,1,58,0,17,11,0,2,1,10,97,0,0,109,17,0,0,0,0,0,4,4,0,0,0,1
5,1,55,0,6,9,0,0,1,3,163,0,0,36,20,0,0,0,0,0,0,0,0,0,0,3
6,1,9,0,1,1,0,0,0,0,27,0,0,6,3,0,0,0,0,0,0,0,0,0,0,3
7,1,9,0,2,1,0,0,0,1,16,0,0,18,2,0,0,0,0,0,0,0,0,0,0,3
8,1,32,1,17,4,0,0,1,28,58,0,0,70,8,0,0,0,0,0,0,0,0,0,0,3
9,1,32,1,13,4,0,0,1,0,81,0,0,48,9,0,0,0,0,0,0,0,0,0,0,3
10,1,58,0,4,11,0,0,1,0,127,0,0,57,30,0,0,0,0,0,0,0,0,0,0,3
11,1,9,0,0,1,0,0,0,0,21,0,0,9,5,0,0,0,0,0,0,0,0,0,0,3
12,1,32,1,13,4,0,0,1,29,67,0,0,53,12,0,0,0,0,0,0,0,0,0,3,3
13,2,89,0,31,19,1,2,1,23,19,0,0,31,3,0,0,35,0,0,10,0,7,0,0,1
14,4,89,0,31,19,1,2,1,23,19,0,0,31,3,0,0,35,0,0,10,0,7,0,0,1
15,4,94,0,33,20,1,2,1,25,20,0,0,33,3,0,0,37,0,0,10,0,8,0,0,1
16,1,22,0,7,4,0,0,0,5,4,0,0,7,0,0,0,8,0,0,2,0,1,0,0,3
17,1,12,0,4,2,0,0,0,3,2,0,0,4,0,0,0,5,0,0,1,0,1,0,0,3
18,1,60,0,14,11,0,2,1,4,103,0,0,115,21,0,0,0,0,0,1,1,0,0,0,1
19,1,10,0,2,2,0,0,0,0,17,0,0,19,3,0,0,0,0,0,0,0,0,0,0,3
20,1,33,0,16,4,0,0,1,28,60,0,0,71,9,0,0,0,0,0,5,0,0,0,3,3
21,1,32,0,13,4,0,0,1,30,82,0,0,39,12,0,0,0,0,0,7,0,0,0,0,3
22,6,134,0,17,31,1,17,1,25,27,0,0,85,8,0,0,15,0,0,11,0,8,0,0,0
23,2,134,0,17,31,1,17,1,25,27,0,0,85,8,0,0,15,0,0,11,0,8,0,0,0
24,1,22,0,2,5,0,2,0,4,4,0,0,14,1,0,0,2,0,0,1,0,1,0,0,1
25,1,11,0,1,2,0,1,0,2,2,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2
26,1,60,0,3,11,1,3,1,3,90,0,0,77,21,0,1,8,0,0,1,0,0,0,0,1
27,2,88,3,56,12,1,0,3,244,40,0,0,59,5,0,0,1,0,0,0,0,0,0,107,3
28,1,14,0,9,2,0,0,0,40,6,0,0,9,0,0,0,0,0,0,0,0,0,0,17,3
29,2,57,2,37,7,1,0,2,159,27,0,0,44,3,0,0,0,0,0,0,0,0,0,71,3
30,1,14,0,9,1,0,0,0,39,6,0,0,11,0,0,0,0,0,0,0,0,0,0,17,3
31,2,65,1,42,9,0,0,2,181,30,0,0,49,3,0,0,0,0,0,0,0,0,0,57,3
32,1,16,0,10,2,0,0,0,45,7,0,0,12,0,0,0,0,0,0,0,0,0,0,14,3
33,2,28,0,12,4,0,1,0,1,6,0,0,32,3,0,0,0,0,0,0,0,0,0,0,2
34,1,122,3,54,19,0,7,3,6,28,0,0,142,13,0,1,1,1,0,0,0,0,0,0,0
35,2,34,1,0,5,0,1,0,187,6,0,0,34,2,0,0,0,0,0,80,64,0,0,0,2
36,2,22,0,18,3,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3
37,1,125,4,104,20,0,0,2,0,9,0,0,44,6,0,0,1,0,0,0,0,0,0,0,3
38,2,3,0,7,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,12,4,0,13,0,3
39,4,76,0,33,15,0,11,1,21,12,0,0,101,5,0,0,13,0,0,9,7,0,0,32,0
40,4,81,0,36,16,0,12,1,22,13,0,0,108,6,0,0,14,0,0,9,8,0,0,34,0
41,2,76,0,33,15,0,11,1,21,12,0,0,101,5,0,0,13,0,0,9,7,0,0,32,0
42,1,10,0,4,2,0,1,0,2,1,0,0,13,0,0,0,1,0,0,1,1,0,0,4,2
43,4,88,0,15,19,0,4,1,22,33,0,0,113,11,0,0,15,0,0,4,4,0,0,1,0
44,4,88,0,15,19,0,4,1,22,33,0,0,113,11,0,0,15,0,0,4,4,0,0,1,0
45,4,93,0,16,20,0,4,1,24,36,0,0,120,12,0,0,16,0,0,4,4,0,0,1,0
46,2,88,0,15,19,0,4,1,22,33,0,0,113,11,0,0,15,0,0,4,4,0,0,1,0
47,1,11,0,2,2,0,0,0,3,4,0,0,15,1,0,0,2,0,0,0,0,0,0,0,3
48,4,87,0,15,19,0,15,0,46,28,0,0,70,14,0,15,14,0,0,25,0,0,0,4,0
49,2,87,0,15,19,0,15,0,46,28,0,0,70,14,0,15,14,0,0,25,0,0,0,4,0
50,1,11,0,2,2,0,2,0,6,3,0,0,9,1,0,2,1,0,0,3,0,0,0,0,0
51,2,117,0,25,31,0,28,0,443,8,0,0,56,3,0,0,1,0,0,246,0,0,0,17,0
52,1,19,0,4,5,0,4,0,73,1,0,0,9,0,0,0,0,0,0,41,0,0,0,2,0
53,2,76,0,18,20,0,10,0,294,5,0,0,38,2,0,0,1,0,0,163,0,0,0,11,0
54,1,19,0,4,5,0,2,0,73,1,0,0,9,0,0,0,0,0,0,41,0,0,0,2,1
